@relation sysdev-weka.filters.unsupervised.attribute.Remove-R1-15-weka.filters.unsupervised.attribute.Remove-R4-7

@attribute accelerationx-mean-3000 numeric
@attribute accelerationy-mean-3000 numeric
@attribute accelerationz-mean-3000 numeric
@attribute class {walking,sitting,standing}

@data
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
?,?,?,walking
-0.749241,-9.921079,-0.636678,walking
-0.740607,-9.897388,-0.668239,walking
-0.727403,-9.901265,-0.619309,walking
-0.728559,-9.897641,-0.588037,walking
-1,-9.1,0.5,walking
-1,-9.15,0.55,walking
-1.033333,-9.2,0.566667,walking
-1.075,-9.25,0.6,walking
-1.1,-9.32,0.64,walking
-1.116667,-9.4,0.666667,walking
-1.128571,-9.457143,0.685714,walking
-1.125,-9.5,0.7125,walking
-1.122222,-9.533333,0.733333,walking
-1.12,-9.57,0.75,walking
-1.118182,-9.609091,0.772727,walking
-1.116667,-9.633333,0.783333,walking
-1.115385,-9.661538,0.784615,walking
-1.121429,-9.685714,0.778571,walking
-1.126667,-9.706667,0.773333,walking
-1.1375,-9.725,0.76875,walking
-1.141176,-9.741176,0.758824,walking
-1.144444,-9.75,0.755556,walking
-1.147368,-9.763158,0.752632,walking
-1.15,-9.77,0.75,walking
-1.152381,-9.77619,0.747619,walking
-1.15,-9.781818,0.75,walking
-1.147826,-9.782609,0.752174,walking
-1.145833,-9.7875,0.754167,walking
-1.14,-9.792,0.76,walking
-1.134615,-9.788462,0.765385,walking
-1.12963,-9.785185,0.774074,walking
-1.121429,-9.785714,0.782143,walking
-1.117241,-9.786207,0.789655,walking
-1.113333,-9.786667,0.796667,walking
-1.109677,-9.787097,0.803226,walking
-1.10625,-9.7875,0.80625,walking
-1.106061,-9.787879,0.809091,walking
-1.105882,-9.791176,0.811765,walking
-1.105714,-9.794286,0.814286,walking
-1.105556,-9.797222,0.819444,walking
-1.108108,-9.8,0.824324,walking
-1.110526,-9.802632,0.826316,walking
-1.112821,-9.805128,0.830769,walking
-1.115,-9.8075,0.835,walking
-1.117073,-9.809756,0.839024,walking
-1.119048,-9.811905,0.842857,walking
-1.123256,-9.813953,0.846512,walking
-1.129545,-9.815909,0.85,walking
-1.135556,-9.82,0.853333,walking
-1.141304,-9.823913,0.854348,walking
-1.146809,-9.825532,0.857447,walking
-1.152083,-9.825,0.860417,walking
-1.155102,-9.82449,0.861224,walking
-1.146,-9.82,0.854,walking
-1.141176,-9.817647,0.84902,walking
-1.153846,-9.821154,0.85,walking
-1.169811,-9.826415,0.850943,walking
-1.185185,-9.82963,0.853704,walking
-1.2,-9.830909,0.856364,walking
-1.210714,-9.828571,0.858929,walking
-1.221053,-9.826316,0.861404,walking
-1.237288,-9.822034,0.864407,walking
-1.243333,-9.821667,0.863333,walking
-1.24918,-9.822951,0.860656,walking
-1.253226,-9.824194,0.859677,walking
-1.255556,-9.825397,0.860317,walking
-1.257813,-9.825,0.860937,walking
-1.26,-9.824615,0.863077,walking
-1.260606,-9.824242,0.863636,walking
-1.261194,-9.823881,0.864179,walking
-1.262319,-9.824638,0.869565,walking
-1.261429,-9.825714,0.872857,walking
-1.260563,-9.826761,0.877465,walking
-1.258333,-9.827778,0.883333,walking
-1.256164,-9.830137,0.889041,walking
-1.252703,-9.832432,0.895946,walking
-1.24026,-9.838961,0.920779,walking
-1.232911,-9.84557,0.940506,walking
-1.220732,-9.854878,0.969512,walking
-1.209412,-9.864706,0.997647,walking
-1.202299,-9.871264,1.014943,walking
-1.192222,-9.881111,1.04,walking
-1.186022,-9.891398,1.05914,walking
-1.182105,-9.9,1.070526,walking
-1.176531,-9.912245,1.082653,walking
-1.172,-9.921,1.087,walking
-1.164078,-9.934951,1.08932,walking
-1.159048,-9.945714,1.087619,walking
-1.151852,-9.960185,1.084259,walking
-1.142342,-9.973874,1.079279,walking
-1.136283,-9.983186,1.076106,walking
-1.125,-9.999138,1.074138,walking
-1.116102,-10.011864,1.077119,walking
-1.100826,-10.036364,1.087603,walking
-1.09187,-10.056911,1.095935,walking
-1.087903,-10.068548,1.1,walking
-1.0848,-10.0808,1.104,walking
-1.077344,-10.123437,1.1125,walking
-1.071538,-10.154615,1.114615,walking
-1.062406,-10.201504,1.110526,walking
-1.053676,-10.247794,1.102206,walking
-1.048551,-10.273913,1.092754,walking
-1.04539,-10.308511,1.078014,walking
-1.048611,-10.334722,1.057639,walking
-1.056463,-10.348299,1.027891,walking
-1.062416,-10.351007,1.005369,walking
-1.071711,-10.346711,0.973684,walking
-1.081935,-10.333548,0.943226,walking
-1.093671,-10.31519,0.916456,walking
-1.101875,-10.300625,0.901875,walking
-1.106211,-10.292547,0.895652,walking
-1.505714,-10.175714,0.493333,walking
-1.054647,-9.858922,-0.698141,walking
